11,21,32,41,51,62
14,24,35,42,51,61
12,22,31,44,51,61
16,26,34,43,52,61
11,21,32,41,54,65
11,21,32,41,56,65
13,23,35,44,52,63
13,23,33,43,51,64
14,24,33,44,53,61
11,21,31,46,51,62
13,23,36,44,53,63
11,21,31,46,51,66
11,21,31,45,53,64
11,21,32,44,55,61
13,23,33,41,54,62
12,22,31,41,51,61
11,21,31,42,55,65
16,25,35,41,51,61
11,21,31,43,52,67
14,24,34,42,53,63
11,21,32,45,51,61
17,26,34,41,51,61
12,22,31,45,52,66
16,25,35,41,52,61
16,27,34,43,51,61
16,25,33,42,51,62
11,21,32,41,54,64
12,22,31,45,52,61
13,23,35,46,52,62
12,22,31,42,55,62
17,26,33,41,51,62
11,21,32,41,53,61
11,21,31,43,54,62
13,23,34,45,52,62
11,21,31,42,56,67
14,24,33,46,53,62
12,22,32,44,54,62
12,22,32,41,55,64
14,23,33,41,51,62
12,22,33,43,52,62
11,21,32,44,54,62
12,21,31,41,56,65
11,21,31,44,53,67
13,23,34,42,51,62
12,22,31,43,52,62
11,21,31,46,53,67
12,22,31,43,56,65
15,25,34,42,52,61
14,24,33,43,51,63
12,22,32,45,55,61
12,22,33,45,53,62
15,25,33,42,52,62
13,23,32,41,54,61
14,24,37,42,51,62
13,23,34,45,52,63
12,22,32,43,51,62
11,21,32,46,52,64
13,22,32,42,54,62
12,22,31,45,52,63
11,21,31,42,57,63
12,22,32,46,54,63
14,24,34,46,51,62
13,23,36,45,53,61
11,21,31,45,54,67
13,23,33,41,54,63
13,23,33,42,51,65
12,22,33,43,51,61
12,22,33,45,51,61
11,21,32,45,53,62
13,23,33,42,53,64
11,21,31,44,56,65
15,25,35,41,53,61
14,23,34,41,52,62
14,24,34,43,52,62
15,25,37,43,51,61
15,25,37,44,51,62
14,24,35,41,52,62
11,21,31,44,55,63
11,21,32,41,56,67
16,26,34,43,51,62
12,21,31,41,53,64
12,22,32,43,52,62
11,21,31,41,55,61
11,21,32,42,52,62
11,21,31,46,52,62
16,26,35,43,52,61
12,22,32,41,52,61
11,21,32,42,57,67
15,25,35,42,51,61
12,22,32,41,52,63
16,26,34,41,51,61
