11,21,31,41,52,62,77,87
13,23,33,43,51,63,71,80
16,27,37,46,52,61,70,80
12,22,32,42,51,66,71,80
13,23,33,42,54,61,70,80
13,23,33,44,51,61,71,80
13,23,33,42,54,61,73,81
11,21,31,41,53,65,71,87
13,23,33,42,53,62,71,81
13,23,33,44,53,63,70,83
12,22,32,43,53,61,71,83
11,21,31,41,52,63,76,83
16,26,36,47,51,62,70,80
15,25,34,45,53,61,70,80
11,21,31,41,52,63,71,83
16,26,36,45,52,61,70,80
15,25,36,43,51,61,70,80
11,21,31,41,52,66,73,80
13,23,33,43,55,61,73,83
15,25,34,44,51,61,70,80
12,22,32,43,51,64,73,83
14,24,34,44,51,63,70,80
12,22,32,43,53,64,70,83
11,21,31,41,51,62,71,80
12,22,32,42,51,65,73,83
12,22,32,42,52,65,71,81
12,22,32,42,53,64,71,83
13,23,33,42,51,62,70,81
12,22,32,43,53,64,71,80
11,21,31,41,51,62,71,86
11,21,31,41,55,62,70,81
12,22,32,42,55,65,73,83
12,22,32,42,51,63,70,81
13,23,33,44,51,63,71,81
13,23,33,42,51,61,73,83
15,25,36,45,51,61,70,80
14,24,34,45,52,62,70,81
13,23,33,42,51,62,70,83
13,23,33,43,57,63,71,83
16,26,35,45,53,62,70,80
15,25,36,46,53,61,70,80
11,21,31,41,53,63,70,83
13,23,33,42,52,61,71,80
11,21,31,41,52,62,76,81
12,22,32,42,55,63,70,83
11,21,31,41,54,66,76,81
11,21,31,41,51,61,76,81
13,23,33,43,57,61,71,80
12,22,32,42,56,61,70,80
11,21,31,41,51,62,76,83
11,21,31,41,53,66,73,80
13,23,33,43,55,63,70,80
12,22,32,42,52,63,70,80
13,23,33,44,52,61,73,80
16,27,35,45,52,62,70,80
11,21,31,41,51,61,76,83
14,24,34,45,51,61,70,80
11,21,31,41,52,62,71,86
14,24,34,47,52,61,70,80
11,21,31,41,52,67,73,83
11,21,31,41,52,64,73,80
16,26,35,43,51,62,70,80
13,23,33,44,51,61,73,80
11,21,31,41,54,65,76,83
11,21,31,41,54,66,71,86
16,26,37,47,52,61,70,80
14,24,34,45,51,63,70,80
14,24,34,44,51,63,71,81
12,22,32,42,57,62,70,83
15,25,36,43,53,62,70,80
11,21,31,41,52,66,70,83
13,23,33,43,56,61,73,80
12,22,32,42,54,65,70,86
11,21,31,41,52,64,76,87
11,21,31,41,53,63,73,83
11,21,31,41,52,61,73,83
12,22,32,43,52,64,71,81
11,21,31,41,55,61,70,83
12,22,32,42,53,65,70,83
13,23,33,42,52,63,70,83
13,23,33,43,51,63,73,80
13,23,33,44,55,61,70,81
12,22,32,42,54,62,73,81
11,21,31,41,52,67,71,87
12,22,32,43,51,63,73,80
12,22,32,43,52,64,70,80
12,22,32,42,54,64,70,86
11,21,31,41,53,64,76,87
11,21,31,41,53,61,76,81
11,21,31,41,53,67,76,80
14,24,34,43,52,63,70,81
17,26,36,45,51,61,70,80
14,24,34,44,56,61,71,81
12,22,32,42,51,66,73,81
11,21,31,41,54,61,70,83
13,23,33,42,52,64,71,83
17,26,37,46,52,61,70,80
11,21,31,41,51,63,73,81
12,22,32,43,53,63,71,81
17,26,35,46,52,61,70,80
12,22,32,43,51,64,71,81
13,23,33,43,54,61,73,83
12,22,32,43,52,62,70,81
13,23,33,44,55,63,71,81
13,23,33,42,52,64,71,80
13,23,33,44,56,62,70,83
11,21,31,41,51,63,70,86
13,23,33,42,51,63,73,83
15,25,36,43,51,63,70,80
12,22,32,42,53,64,71,86
11,21,31,41,53,61,76,87
11,21,31,41,51,65,70,81
14,24,34,47,51,62,70,80
12,22,32,43,52,63,71,83
11,21,31,41,52,62,70,87
11,21,31,41,51,62,73,86
17,26,37,46,51,61,70,80
14,24,34,43,51,63,70,81
13,23,33,42,52,62,73,81
14,24,34,44,51,62,70,80
14,24,34,43,56,61,71,81
12,22,32,42,52,64,71,80
12,22,32,42,51,63,71,83
11,21,31,41,52,64,71,87
13,23,33,45,51,62,71,81
17,26,37,45,51,61,70,80
12,22,32,42,52,61,73,86
14,24,34,43,55,62,70,80
15,25,36,46,53,62,70,80
13,23,33,43,53,62,73,80
11,21,31,41,51,64,70,83
15,25,37,45,52,61,70,80
11,21,31,41,53,64,73,80
12,22,32,42,51,62,70,81
16,27,35,46,51,62,70,80
12,22,32,42,55,64,71,81
12,22,32,42,55,64,73,86
12,22,32,42,53,64,73,81
13,23,33,43,55,61,70,80
11,21,31,41,52,63,76,81
12,22,32,42,56,61,71,83
13,23,33,43,53,63,71,81
14,24,34,46,52,62,70,81
16,26,36,46,52,61,70,80
15,25,35,45,52,62,70,80
11,21,31,41,51,61,76,80
11,21,31,41,52,67,71,80
12,22,32,42,52,65,70,80
11,21,31,41,51,67,76,83
15,25,35,45,53,61,70,80
15,25,35,47,51,61,70,80
11,21,31,41,53,64,70,81
13,23,33,43,52,63,71,80
13,23,33,43,51,61,73,83
11,21,31,41,54,64,73,86
13,23,33,44,52,62,73,80
14,24,35,44,52,61,70,81
13,23,33,43,51,63,71,83
12,22,32,42,54,64,71,83
12,22,32,43,51,64,71,80
14,24,34,47,53,62,70,81
17,27,37,46,51,61,70,80
11,21,31,41,53,65,73,80
12,22,32,42,52,64,73,83
13,23,33,43,55,62,70,83
11,21,31,41,51,66,70,81
12,22,32,42,54,62,70,86
13,23,33,44,55,62,71,83
12,22,32,42,54,65,73,83
12,22,32,42,55,62,71,86
11,21,31,41,52,66,71,83
12,22,32,42,51,61,71,81
11,21,31,41,52,64,73,83
14,24,34,47,52,62,70,80
12,22,32,42,52,64,71,83
13,23,33,43,53,62,71,81
16,27,35,45,52,61,70,80
16,26,36,45,52,62,70,80
14,24,34,44,54,64,73,83
14,24,34,44,53,63,70,80
11,21,31,41,52,62,73,86
